Segment,Silo,QA Score,Final Status
audit_report_-_2023_pt_1.pdf,refined_audit,0.85,✅ INDEXED | Strategy B (Layout-Aware)
audit_report_-_2023_pt_10.pdf,refined_audit,0.96,✅ INDEXED | Strategy C (VLM/OCR)
audit_report_-_2023_pt_2.pdf,refined_audit,0.95,✅ INDEXED | Strategy C (VLM/OCR)
audit_report_-_2023_pt_3.pdf,refined_audit,0.94,✅ INDEXED | Strategy C (VLM/OCR)
audit_report_-_2023_pt_4.pdf,refined_audit,0.94,✅ INDEXED | Strategy C (VLM/OCR)
audit_report_-_2023_pt_5.pdf,refined_audit,0.93,✅ INDEXED | Strategy C (VLM/OCR)
audit_report_-_2023_pt_6.pdf,refined_audit,0.95,✅ INDEXED | Strategy C (VLM/OCR)
audit_report_-_2023_pt_7.pdf,refined_audit,0.95,✅ INDEXED | Strategy C (VLM/OCR)
audit_report_-_2023_pt_8.pdf,refined_audit,0.93,✅ INDEXED | Strategy C (VLM/OCR)
audit_report_-_2023_pt_9.pdf,refined_audit,0.94,✅ INDEXED | Strategy C (VLM/OCR)
cbe_annual_report_2023-24_pt_1.pdf,refined_cbe,1.00,✅ INDEXED | Strategy B (Layout-Aware)
cbe_annual_report_2023-24_pt_10.pdf,refined_cbe,1.00,✅ INDEXED | Strategy A (Fast Text)
cbe_annual_report_2023-24_pt_11.pdf,refined_cbe,1.00,✅ INDEXED | Strategy A (Fast Text)
cbe_annual_report_2023-24_pt_12.pdf,refined_cbe,1.00,✅ INDEXED | Strategy A (Fast Text)
cbe_annual_report_2023-24_pt_13.pdf,refined_cbe,1.00,✅ INDEXED | Strategy A (Fast Text)
cbe_annual_report_2023-24_pt_14.pdf,refined_cbe,1.00,✅ INDEXED | Strategy A (Fast Text)
cbe_annual_report_2023-24_pt_15.pdf,refined_cbe,1.00,✅ INDEXED | Strategy A (Fast Text)
cbe_annual_report_2023-24_pt_16.pdf,refined_cbe,1.00,✅ INDEXED | Strategy A (Fast Text)
cbe_annual_report_2023-24_pt_17.pdf,refined_cbe,0.93,✅ INDEXED | Strategy C (VLM/OCR)
cbe_annual_report_2023-24_pt_2.pdf,refined_cbe,1.00,✅ INDEXED | Strategy B (Layout-Aware)
cbe_annual_report_2023-24_pt_3.pdf,refined_cbe,0.98,✅ INDEXED | Strategy B (Layout-Aware)
cbe_annual_report_2023-24_pt_4.pdf,refined_cbe,1.00,✅ INDEXED | Strategy B (Layout-Aware)
cbe_annual_report_2023-24_pt_5.pdf,refined_cbe,1.00,✅ INDEXED | Strategy A (Fast Text)
cbe_annual_report_2023-24_pt_6.pdf,refined_cbe,1.00,✅ INDEXED | Strategy A (Fast Text)
cbe_annual_report_2023-24_pt_7.pdf,refined_cbe,1.00,✅ INDEXED | Strategy A (Fast Text)
cbe_annual_report_2023-24_pt_8.pdf,refined_cbe,1.00,✅ INDEXED | Strategy A (Fast Text)
cbe_annual_report_2023-24_pt_9.pdf,refined_cbe,0.99,✅ INDEXED | Strategy A (Fast Text)
fta_performance_survey_final_report_2022_pt_1.pdf,refined_fta,1.00,✅ INDEXED | Strategy B (Layout-Aware)
fta_performance_survey_final_report_2022_pt_10.pdf,refined_fta,1.00,✅ INDEXED | Strategy B (Layout-Aware)
fta_performance_survey_final_report_2022_pt_11.pdf,refined_fta,1.00,✅ INDEXED | Strategy A (Fast Text)
fta_performance_survey_final_report_2022_pt_12.pdf,refined_fta,1.00,✅ INDEXED | Strategy A (Fast Text)
fta_performance_survey_final_report_2022_pt_13.pdf,refined_fta,1.00,✅ INDEXED | Strategy A (Fast Text)
fta_performance_survey_final_report_2022_pt_14.pdf,refined_fta,1.00,✅ INDEXED | Strategy A (Fast Text)
fta_performance_survey_final_report_2022_pt_15.pdf,refined_fta,0.98,✅ INDEXED | Strategy A (Fast Text)
fta_performance_survey_final_report_2022_pt_16.pdf,refined_fta,0.98,✅ INDEXED | Strategy A (Fast Text)
fta_performance_survey_final_report_2022_pt_2.pdf,refined_fta,1.00,✅ INDEXED | Strategy A (Fast Text)
fta_performance_survey_final_report_2022_pt_3.pdf,refined_fta,0.99,✅ INDEXED | Strategy B (Layout-Aware)
fta_performance_survey_final_report_2022_pt_4.pdf,refined_fta,1.00,✅ INDEXED | Strategy B (Layout-Aware)
fta_performance_survey_final_report_2022_pt_5.pdf,refined_fta,1.00,✅ INDEXED | Strategy B (Layout-Aware)
fta_performance_survey_final_report_2022_pt_6.pdf,refined_fta,1.00,✅ INDEXED | Strategy B (Layout-Aware)
fta_performance_survey_final_report_2022_pt_7.pdf,refined_fta,1.00,✅ INDEXED | Strategy B (Layout-Aware)
fta_performance_survey_final_report_2022_pt_8.pdf,refined_fta,1.00,✅ INDEXED | Strategy B (Layout-Aware)
fta_performance_survey_final_report_2022_pt_9.pdf,refined_fta,1.00,✅ INDEXED | Strategy B (Layout-Aware)
tax_expenditure_ethiopia_2021_22_pt_1.pdf,refined_tax,1.00,✅ INDEXED | Strategy B (Layout-Aware)
tax_expenditure_ethiopia_2021_22_pt_2.pdf,refined_tax,1.00,✅ INDEXED | Strategy A (Fast Text)
tax_expenditure_ethiopia_2021_22_pt_3.pdf,refined_tax,1.00,✅ INDEXED | Strategy A (Fast Text)
tax_expenditure_ethiopia_2021_22_pt_4.pdf,refined_tax,1.00,✅ INDEXED | Strategy A (Fast Text)
tax_expenditure_ethiopia_2021_22_pt_5.pdf,refined_tax,1.00,✅ INDEXED | Strategy A (Fast Text)
tax_expenditure_ethiopia_2021_22_pt_6.pdf,refined_tax,1.00,✅ INDEXED | Strategy A (Fast Text)
